domain	url	http_code	domain_whois_created	domain_whois_changed	domain_whois_expires	domain_internet_archive_created	domain_moz_domain_authority	domain_moz_mozrank	links	external_equity_links	document_html_length	document_text_length	document_text_to_html_ratio	document_html_meta_title_length	document_html_meta_description_length	document_html_meta_keyword_length	document_links_count	document_links_attr_follow_count	document_links_attr_nofollow_count	document_website_links_attr_follow_count	document_website_links_attr_nofollow_count	document_link_distribution_range_1	document_link_distribution_range_2	document_link_distribution_range_3	document_link_distribution_range_4	document_link_distribution_range_5	document_website_link_distribution_range_1	document_website_link_distribution_range_2	document_website_link_distribution_range_3	document_website_link_distribution_range_4	document_website_link_distribution_range_5	document_external_link_distribution_range_1	document_external_link_distribution_range_2	document_external_link_distribution_range_3	document_external_link_distribution_range_4	document_external_link_distribution_range_5	document_performance_total_time	document_performance_speed_download	document_security_google_safe_browsing
katalog.wp.pl	http://katalog.wp.pl/gabinety-lekarskie/	200	NULL	NULL	NULL	1998-12-02 03:00:45.0000	84.3745	5.8260	11492.0000	3288.0000	45411	9250	20.3695	51	26	8	154	132	22	1	1	10	NULL	48	39	55	NULL	NULL	2	NULL	NULL	7	NULL	12	18	31	0.4567	99433	0
katalog.wp.pl	http://katalog.wp.pl/last-minute/	200	NULL	NULL	NULL	1998-12-02 03:00:45.0000	84.3745	5.8260	11492.0000	3288.0000	34935	7434	21.2795	51	26	8	155	129	26	1	1	17	34	29	32	41	NULL	2	NULL	NULL	NULL	9	14	14	10	34	0.4428	78904	0
katalog.wp.pl	http://katalog.wp.pl/strony-biur-podrozy/	200	NULL	NULL	NULL	1998-12-02 03:00:45.0000	84.3745	5.8260	11492.0000	3288.0000	37070	7202	19.4281	51	26	8	131	109	22	1	1	10	2	37	31	49	NULL	NULL	2	NULL	NULL	7	NULL	18	16	27	0.4415	83959	0
katalog.wp.pl	http://katalog.wp.pl/szukaj.html?szukaj=dekoracje+%B6cian	200	NULL	NULL	NULL	1998-12-02 03:00:45.0000	84.3745	5.8260	11492.0000	3288.0000	36936	8070	21.8486	51	26	8	146	121	25	1	1	16	26	30	26	40	NULL	NULL	2	NULL	NULL	8	14	12	10	33	0.7145	51695	0
katalog.wp.pl	http://katalog.wp.pl/szukaj.html?szukaj=wszystko+dla+domu	200	NULL	NULL	NULL	1998-12-02 03:00:45.0000	84.3745	5.8260	11492.0000	3288.0000	30517	6212	20.3559	51	26	8	131	110	21	1	1	13	26	24	28	36	NULL	NULL	2	NULL	NULL	9	12	10	14	23	0.7083	43085	0
katalog.wp.pl	http://katalog.wp.pl/szukaj.html?szukaj=wyszukiwarka+lekarzy	200	NULL	NULL	NULL	1998-12-02 03:00:45.0000	84.3745	5.8260	11492.0000	3288.0000	19827	3875	19.5441	51	26	8	85	74	11	1	1	6	14	17	16	31	NULL	2	NULL	NULL	NULL	5	8	6	8	21	0.6458	30702	0
katalogseo.net.pl	http://katalogseo.net.pl/i-40995-obrazy-na-sciane-do-salonu	200	NULL	NULL	NULL	2008-08-17 06:51:19.0000	58.7180	6.7120	136495.0000	102551.0000	467630	222393	47.5575	42	0	0	41	38	3	1	0	23	NULL	NULL	6	11	1	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	2	0.0770	6073511	0
katania.net	http://katania.net/partnerzy	200	NULL	NULL	NULL	2002-10-23 04:02:02.0000	29.7496	4.0996	195.0000	6.0000	31058	1827	5.8825	14	131	257	126	125	1	1	0	2	37	22	36	24	NULL	NULL	NULL	1	NULL	1	1	15	35	16	0.7353	42240	0
kazior5.w.interia.pl	http://kazior5.w.interia.pl/sms.htm	200	NULL	NULL	NULL	2004-08-25 11:53:28.0000	77.2076	3.4907	15.0000	14.0000	59506	12687	21.3205	13	0	0	290	290	0	1	0	61	114	55	19	20	NULL	1	NULL	NULL	NULL	31	110	49	19	18	0.3508	169641	0
kelionespervarsuva.lt	http://kelionespervarsuva.lt/?filter[ds]=31_1776&filter[drf]=-Nesvarbu-&filter[drt]=-Nesvarbu-&filter[bt]=-Nesvarbu-&filter[sd]=2014-05-12&filter[ed]=2017-03-03&filter[a]=2&filter[dp]=4&filter[zscore]=-Nesvarbu-&filter[s]=-Nesvarbu-&filter[c1]=-Nesvarbu-&filter[c2]=-Nesvarbu-&filter[c3]=-Nesvarbu-&filter[t]=-Nesvarbu-&filter[sp]=3	200	NULL	NULL	NULL	2013-04-27 03:55:23.0000	21.1692	5.2586	4218.0000	3319.0000	103637	7814	7.5398	47	0	0	162	162	0	1	0	92	31	12	12	15	1	NULL	NULL	NULL	NULL	1	1	NULL	NULL	2	1.8037	57458	0
kelionespervarsuva.lt	http://kelionespervarsuva.lt/itaka-ziemos-sezono-kryptys.htm	200	NULL	NULL	NULL	2013-04-27 03:55:23.0000	21.1692	5.2586	4218.0000	3319.0000	30458	3322	10.9068	54	0	0	135	135	0	1	0	17	43	46	27	2	1	NULL	NULL	NULL	NULL	1	NULL	NULL	NULL	2	0.3677	82837	0
kingcrosspraga.pl	http://kingcrosspraga.pl/sklepy/run,itaka,shop,37.html	200	NULL	NULL	NULL	2007-11-05 19:07:41.0000	24.7183	4.9497	79.0000	1.0000	62524	2574	4.1168	44	1	1	35	29	6	1	0	26	2	NULL	NULL	5	NULL	1	NULL	NULL	NULL	2	1	NULL	NULL	3	2.7124	23050	0
klinika-neurologiczna.pl	http://klinika-neurologiczna.pl/jak-pielegnowac-niemowle	200	NULL	NULL	NULL	2013-02-13 14:06:32.0000	11.0100	3.5381	10.0000	0.0000	10769	3576	33.2064	27	0	0	17	13	4	1	0	1	2	3	1	10	NULL	NULL	1	NULL	NULL	NULL	NULL	1	NULL	NULL	0.9419	11433	0
klinikavenamed.pl	http://klinikavenamed.pl/opinie/	200	NULL	NULL	NULL	NULL	1.0000	0.0000	0.0000	0.0000	91967	16968	18.4501	24	0	0	107	105	2	18	1	22	25	18	22	19	1	NULL	15	NULL	2	2	NULL	15	NULL	2	0.7670	119912	0
kobieta.haloursynow.pl	http://kobieta.haloursynow.pl/firmy/moda,756/buty,760/klinika-velmed-medycyna,5182.htm	200	NULL	NULL	NULL	2013-12-06 10:11:49.0000	32.8869	4.8043	3851.0000	3.0000	37604	4418	11.7488	27	24	25	101	101	0	1	0	9	27	38	6	16	NULL	NULL	NULL	1	NULL	9	16	1	6	11	0.0319	1177406	0
kobieta.haloursynow.pl	http://kobieta.haloursynow.pl/firmy/niepubliczna-opieka-zdrowotna,891/klinika-velmed-medycyna,5182/podstrona,469.html	200	NULL	NULL	NULL	2013-12-06 10:11:49.0000	32.8869	4.8043	3851.0000	3.0000	32053	3645	11.3718	27	24	25	92	92	0	1	0	7	23	26	19	15	NULL	NULL	NULL	NULL	1	7	18	NULL	2	15	0.0449	714002	0
